label_snail	label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
valid_for	valid-for	Duration	"EducationalOccupationalCredential, Permit"	valid_for	validFor								The duration of validity of a permit or similar thing.
billing_period	billing-period	Duration	Invoice	billing_period	billingPeriod								The time interval used to compute the invoice.
cook_time	cook-time	Duration	Recipe	cook_time	cookTime		performTime						"The time it takes to actually cook the dish, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>."
duration	duration	Duration	"Audiobook, Episode, Event, MediaObject, Movie, MusicRecording, MusicRelease, QuantitativeValueDistribution, Schedule"	duration	duration				loanTerm				"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>."
grace_period	grace-period	Duration	LoanOrCredit	grace_period	gracePeriod	pending:							The period of time after any due date that the borrower has to fulfil its obligations before a default (failure to pay) is deemed to have occurred.
perform_time	perform-time	Duration	"HowTo, HowToDirection"	perform_time	performTime				cookTime				"The length of time it takes to perform instructions or a direction (not including time to prepare the supplies), in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>."
prep_time	prep-time	Duration	"HowTo, HowToDirection"	prep_time	prepTime								"The length of time it takes to prepare the items to be used in instructions or a direction, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>."
processing_time	processing-time	Duration	ServiceChannel	processing_time	processingTime								Estimated processing time for the service using this channel.
term_duration	term-duration	Duration	EducationalOccupationalProgram	term_duration	termDuration	pending:							The amount of time in a term as defined by the institution. A term is a length of time where students take one or more classes. Semesters and quarters are common units for term.
time_required	time-required	Duration	CreativeWork	time_required	timeRequired								"Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'PT30M', 'PT1H25M'."
time_to_complete	time-to-complete	Duration	EducationalOccupationalProgram	time_to_complete	timeToComplete	pending:							The expected length of time to complete the program if attending full-time.
total_time	total-time	Duration	"HowTo, HowToDirection"	total_time	totalTime								"The total time required to perform instructions or a direction (including time to prepare the supplies), in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>."
billing_duration	billing-duration	"Duration, Number, QuantitativeValue"	UnitPriceSpecification	billing_duration	billingDuration	pending:							"Specifies for how long this price (or price component) will be billed. Can be used, for example, to model the contractual duration of a subscription or payment plan. Type can be either a Duration or a Number (in which case the unit of measurement, for example month, is specified by the unitCode property)."
activity_duration	activity-duration	"Duration, QuantitativeValue"	ExercisePlan	activity_duration	activityDuration								Length of time to engage in the activity.
lease_length	lease-length	"Duration, QuantitativeValue"	"Accommodation, Offer, RealEstateListing"	lease_length	leaseLength	pending:							"Length of the lease for some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, either particular to some <a class=""localLink"" href=""/Offer"">Offer</a> or in some cases intrinsic to the property."
estimated_flight_duration	estimated-flight-duration	"Duration, Text"	Flight	estimated_flight_duration	estimatedFlightDuration								The estimated time the flight will take.
repeat_frequency	repeat-frequency	"Duration, Text"	Schedule	repeat_frequency	repeatFrequency	pending:	frequency						"Defines the frequency at which <a class=""localLink"" href=""/Event"">Event</a>s will occur according to a schedule <a class=""localLink"" href=""/Schedule"">Schedule</a>. The intervals between
      events should be defined as a <a class=""localLink"" href=""/Duration"">Duration</a> of time."
