Year	Date	Event	Significance
711		[Umayyad conquest of Hispania](https://en.wikipedia.org/wiki/Umayyad_conquest_of_Hispania ) under [Tarik](https://en.wikipedia.org/wiki/Tariq_ibn_Ziyad ).	Will begin a period of Muslim rule in the [Al-Andalus](https://en.wikipedia.org/wiki/Al-Andalus ) (with various portions of the [Iberian peninsula](https://en.wikipedia.org/wiki/Iberian_peninsula )) until nearly the end of the [Fifteenth Century](https://en.wikipedia.org/wiki/Fifteenth_Century ).
718		[Second Arab attack](https://en.wikipedia.org/wiki/Siege_of_Constantinople_(717%E2%80%93718) ) on [Constantinople](https://en.wikipedia.org/wiki/Constantinople ), ending in failure.	The combined [Byzantine](https://en.wikipedia.org/wiki/Byzantine )–[Bulgarian](https://en.wikipedia.org/wiki/Bulgarians ) forces stop the Arab threat in [Southeastern Europe](https://en.wikipedia.org/wiki/Southeastern_Europe ).
726		[Iconoclast movement](https://en.wikipedia.org/wiki/Iconoclasm ) begun in the Byzantine Empire under [Leo III](https://en.wikipedia.org/wiki/Leo_III_the_Isaurian ). This was opposed by [Pope Gregory II](https://en.wikipedia.org/wiki/Pope_Gregory_II ), and an important difference between the Roman and Byzantine churches.	
732	October	[Battle of Tours](https://en.wikipedia.org/wiki/Battle_of_Tours ). [Charles Martel](https://en.wikipedia.org/wiki/Charles_Martel ) halts Muslim advance.	Significant moment that led to the forming of the [Carolingian Empire](https://en.wikipedia.org/wiki/Carolingian_Empire ) for the Franks, and halted the advancement of the Moors in southwestern Europe.
735	26 May	Death of [Bede](https://en.wikipedia.org/wiki/Bede ).	Bede was later regarded as 'the father of English history'.
750	25 January	Beginning of [Abbasid Caliphate](https://en.wikipedia.org/wiki/Abbasid_Caliphate ).	Would become the longest-lasting caliphate, until 1519 when conquered and annexed into the [Ottoman Empire](https://en.wikipedia.org/wiki/Ottoman_Empire ).
751		[Pepin the Short](https://en.wikipedia.org/wiki/Pippin_the_Younger ) founds the [Carolingian dynasty](https://en.wikipedia.org/wiki/Carolingian_dynasty ).	
754		Pepin promises the Pope central Italy. This is arguably the beginning of the temporal power of the Papacy.	
768		Beginning of [Charlemagne](https://en.wikipedia.org/wiki/Charlemagne )'s reign.	
778	15 August	[Battle of Roncevaux Pass](https://en.wikipedia.org/wiki/Battle_of_Roncevaux_Pass ).	Caused the death of [Roland](https://en.wikipedia.org/wiki/Roland ), and elevated him into legend, becoming the role model for [knights](https://en.wikipedia.org/wiki/Knights ) and influencing the code of [chivalry](https://en.wikipedia.org/wiki/Chivalry ) in the [Middle Ages](https://en.wikipedia.org/wiki/Middle_Ages ).
786	14 September	Accession of [Harun al-Rashid](https://en.wikipedia.org/wiki/Harun_al-Rashid ) to the Caliphate in Baghdad.	
793		[Sack of Lindisfarne](https://en.wikipedia.org/wiki/Lindisfarne#Vikings ). [Viking](https://en.wikipedia.org/wiki/Viking ) attacks on Britain begin.	Generally considered the beginning of the [Viking Age](https://en.wikipedia.org/wiki/Viking_Age ) that would span over two centuries, and reach as far south as [Hispania](https://en.wikipedia.org/wiki/Hispania ) and as far east as the [Byzantine Empire](https://en.wikipedia.org/wiki/Byzantine_Empire ), and present-day [Russia](https://en.wikipedia.org/wiki/Russia ).
794		[Heian period](https://en.wikipedia.org/wiki/Heian_period ) in Japan.	Considered to be the last classical period of [History of Japan](https://en.wikipedia.org/wiki/Japanese_History ). Chinese influence was at its strongest during this era in Japan.
795	29 July	Death of [Offa](https://en.wikipedia.org/wiki/Offa ).	Marks the end of [Mercian](https://en.wikipedia.org/wiki/Mercia ) dominance in England.
800	25 December	[Charlemagne](https://en.wikipedia.org/wiki/Charlemagne ) is crowned [Holy Roman Emperor](https://en.wikipedia.org/wiki/Holy_Roman_Emperor ).	With his crowning, [Charlemagne](https://en.wikipedia.org/wiki/Charlemagne )'s kingdom is officially recognized by the Papacy as the largest in Europe since the fall of the [Roman Empire](https://en.wikipedia.org/wiki/Roman_Empire ).
800		[Gunpowder](https://en.wikipedia.org/wiki/Gunpowder ) is invented in China (somewhere around 9th century)	
