Event	Start	Stop
Sumerian cuneiform writing system	-3500	200
writing system  Egyptian hieroglyphs	-3200	400
Cycladic culture in Greece.	-3100	-1000
Caral-Supe civilization begins in Peru.	-3200	-1800
Rise of Proto-Elamite Civilization in Iran.	-3100	-2700
Skara Brae is built in Scotland.	-3180	-2500
First Dynasty of Egypt.	-3100	-2900
Stonehenge construction begins. In its first version, it consisted of a circular ditch and bank, with 56 wooden posts.	-3100	
Cucuteni–Trypillia culture is established in Romania and Ukraine.	-4800	-3000
Jiroft culture begins in Iran.	-2500	-2200
First known use of papyrus by Egyptians.	-3000	
Earliest evidence of autochthonous iron production in West Africa.	-3000	-2500
The East African Pastoral neolithic culture builds East Africa's earliest and largest monumental cemetery at Lothagam North Pillar Site.	-3000	-2300
Domestication of the horse in the Yamnaya culture.	-3000	-2600
Kot Diji phase of the Indus Valley Civilisation begins.	-3300	-2600
Longshan culture begins in China.	-2800	-1900
Minoan civilization ancient palace city Knossos reaches 80,000 inhabitants.	-3100	-1100
Rise of Elam in Iran.	-3200	-539
The Old Kingdom begins in Egypt.	-2686	-2181
Oldest known surviving literature: Sumerian texts from Abu Salabikh, including the Instructions of Shuruppak and the Kesh temple hymn	-2600	
Mature Harappan phase of the Indus Valley civilization (in present-day Pakistan and India) begins.	-3300	-1300
Emergence of Mayan culture in the Yucatán Peninsula.	-2600	
King Khufu completes the Great Pyramid of Giza. The Land of Punt in the Horn of Africa first appears in Egyptian records around this time.	-2570	-2545
Kerma culture begins in Nubia.	-2500	-1500
The last mammoth population, on Wrangel Island in Siberia, goes extinct.	-2500	
Akkadian Empire is founded, dating depends upon whether the Middle chronology or the Short chronology is used.	-2334	-2154
Pharaoh Teti is thought to be the earliest known victim of assassination.	-2323	-2291
Oldest known depiction of the Staff God, the oldest image of a god to be found in the Americas.	-2250	
4.2-kiloyear event: a severe aridification phase, likely connected to a Bond event, which was registered throughout most of North Africa, Middle East and continental North America. Related droughts very likely caused the collapse of the Old Kingdom in Egypt and the Akkadian Empire in Mesopotamia.	-2200	-2100
Completion of Stonehenge.	-2200	
Traditional date for the legendary foundation of Armenia by Hayk.	-2115	
The Middle Kingdom in Egypt.	-2055	-1650
Erlitou culture begins in China.	-1900	-1500
Alphabetic writing emerges.	-1800	
The Old Babylonian Epic of Gilgamesh constitutes the earliest complete version of that narrative.	-1800	
Oldest Record of Hammurabi's Code.	-1780	
Mycenaean civilization begins in mainland Greece.	-1750	-1050
The Proto-Sinaitic script is the oldest alphabet created in Egypt.	-1700	-1400
Indus Valley Civilization is continued by the Cemetery H culture;	-1900	-1300
Poverty Point culture in North America.	-1730	-1350
Minoan civilization on Crete is devastated by the Minoan eruption of Santorini island.	-1600	
Shang dynasty in China; evidence of a fully developed writing system, see Oracle bone script.	-1600	-1045
The New Kingdom in Egypt.	-1550	-1069
